101224120610462,USDINR 24 Dec 06 82.5 PE,19,1,0.0025,,0900-1700|1815-1915:,2024-12-02,1733468400,NSE:USDINR24D0682.5PE,10,12,10462,USDINR,1,82.5,PE,10120000001,None,0,0.0
101224120610488,USDINR 24 Dec 06 82.75 CE,19,1,0.0025,,0900-1700|1815-1915:,2024-12-02,1733468400,NSE:USDINR24D0682.75CE,10,12,10488,USDINR,1,82.75,CE,10120000001,None,0,0.0
101224120610489,USDINR 24 Dec 06 82.75 PE,19,1,0.0025,,0900-1700|1815-1915:,2024-12-02,1733468400,NSE:USDINR24D0682.75PE,10,12,10489,USDINR,1,82.75,PE,10120000001,None,0,0.0
101224120610633,USDINR 24 Dec 06 82.875 CE,19,1,0.0025,,0900-1700|1815-1915:,2024-12-02,1733468400,NSE:USDINR24D0682.875CE,10,12,10633,USDINR,1,82.875,CE,10120000001,None,0,0.0
101224120610634,USDINR 24 Dec 06 82.875 PE,19,1,0.0025,,0900-1700|1815-1915:,2024-12-02,1733468400,NSE:USDINR24D0682.875PE,10,12,10634,USDINR,1,82.875,PE,10120000001,None,0,0.0
101224120610635,USDINR 24 Dec 06 83 CE,19,1,0.0025,,0900-1700|1815-1915:,2024-12-02,1733468400,NSE:USDINR24D0683CE,10,12,10635,USDINR,1,83.0,CE,10120000001,None,0,0.0
101224120610636,USDINR 24 Dec 06 83 PE,19,1,0.0025,,0900-1700|1815-1915:,2024-12-02,1733468400,NSE:USDINR24D0683PE,10,12,10636,USDINR,1,83.0,PE,10120000001,None,0,0.0
101224120610637,USDINR 24 Dec 06 83.125 CE,19,1,0.0025,,0900-1700|1815-1915:,2024-12-02,1733468400,NSE:USDINR24D0683.125CE,10,12,10637,USDINR,1,83.125,CE,10120000001,None,0,0.0
101224120610638,USDINR 24 Dec 06 83.125 PE,19,1,0.0025,,0900-1700|1815-1915:,2024-12-02,1733468400,NSE:USDINR24D0683.125PE,10,12,10638,USDINR,1,83.125,PE,10120000001,None,0,0.0
101224120610639,USDINR 24 Dec 06 83.25 CE,19,1,0.0025,,0900-1700|1815-1915:,2024-12-02,1733468400,NSE:USDINR24D0683.25CE,10,12,10639,USDINR,1,83.25,CE,10120000001,None,0,0.0
101224120610640,USDINR 24 Dec 06 83.25 PE,19,1,0.0025,,0900-1700|1815-1915:,2024-12-02,1733468400,NSE:USDINR24D0683.25PE,10,12,10640,USDINR,1,83.25,PE,10120000001,None,0,0.0
101224120610643,USDINR 24 Dec 06 83.375 CE,19,1,0.0025,,0900-1700|1815-1915:,2024-12-02,1733468400,NSE:USDINR24D0683.375CE,10,12,10643,USDINR,1,83.375,CE,10120000001,None,0,0.0
101224120610644,USDINR 24 Dec 06 83.375 PE,19,1,0.0025,,0900-1700|1815-1915:,2024-12-02,1733468400,NSE:USDINR24D0683.375PE,10,12,10644,USDINR,1,83.375,PE,10120000001,None,0,0.0
101224120610647,USDINR 24 Dec 06 83.5 CE,19,1,0.0025,,0900-1700|1815-1915:,2024-12-02,1733468400,NSE:USDINR24D0683.5CE,10,12,10647,USDINR,1,83.5,CE,10120000001,None,0,0.0
101224120610648,USDINR 24 Dec 06 83.5 PE,19,1,0.0025,,0900-1700|1815-1915:,2024-12-02,1733468400,NSE:USDINR24D0683.5PE,10,12,10648,USDINR,1,83.5,PE,10120000001,None,0,0.0
101224120610655,USDINR 24 Dec 06 83.625 CE,19,1,0.0025,,0900-1700|1815-1915:,2024-12-02,1733468400,NSE:USDINR24D0683.625CE,10,12,10655,USDINR,1,83.625,CE,10120000001,None,0,0.0
101224120610656,USDINR 24 Dec 06 83.625 PE,19,1,0.0025,,0900-1700|1815-1915:,2024-12-02,1733468400,NSE:USDINR24D0683.625PE,10,12,10656,USDINR,1,83.625,PE,10120000001,None,0,0.0
101224120610668,USDINR 24 Dec 06 83.75 CE,19,1,0.0025,,0900-1700|1815-1915:,2024-12-02,1733468400,NSE:USDINR24D0683.75CE,10,12,10668,USDINR,1,83.75,CE,10120000001,None,0,0.0
101224120610669,USDINR 24 Dec 06 83.75 PE,19,1,0.0025,,0900-1700|1815-1915:,2024-12-02,1733468400,NSE:USDINR24D0683.75PE,10,12,10669,USDINR,1,83.75,PE,10120000001,None,0,0.0
