"Token","ShortName","Series","CompanyName","TickSize","LotSize","ScripCode","MarketLot","BCastFlag","AVMBuyMargin","AVMSellMargin","ScripID","ScripName","GroupName","NdFlag","NDSDate","NDEDate","SuspStatus","avmflag","SuspensionReason","Suspensiondate","DateOfListing","DateOfDeListing","IssuePrice","FaceValue","ISINCode","52WeeksHigh","52WeeksLow","LifeTimeHigh","LifeTimeLow","HighDate","LowDate","MarginPercentage","ExchangeCode"
"939369","INHC17","DR","10.5% INDIABULLS HOUSING MAR31",1200,1,"939369",0,0,0,0,"1050IHFL31","10.5% INDIABULLS HOUSING MAR31","","","","","","","","","","",800,1000,"INE148I07SM6",0,0,0,0,"","","","1050IHFL31"
"939371","INHC18","DR","9.57% INDIABULLS HOUSING MAR31",1200,1,"939371",0,0,0,0,"957IHFL31","9.57% INDIABULLS HOUSING MAR31","","","","","","","","","","",800,1000,"INE148I07ST1",0,0,0,0,"","","","957IHFL31"
"939373","INHC19","DR","10.03% INDIABULS HOUSING MAR31",1200,1,"939373",0,0,0,0,"1003IHFL31","10.03% INDIABULS HOUSING MAR31","","","","","","","","","","",800,1000,"INE148I07SX3",0,0,0,0,"","","","1003IHFL31"
"939375","INHC20","DR","10.25% INDIABULLS HOUSINGMAR34",1200,1,"939375",0,0,0,0,"1025IHFL34","10.25% INDIABULLS HOUSINGMAR34","","","","","","","","","","",800,1000,"INE148I07SV7",0,0,0,0,"","","","1025IHFL34"
"939377","INHC21","DR","10.75% INDIABULLS HOUSINGMAR34",1081.44,1,"939377",0,0,0,0,"1075IHFL34","10.75% INDIABULLS HOUSINGMAR34","","","","","","","","","","",720.96,1000,"INE148I07SR5",0,0,0,0,"","","","1075IHFL34"
"939379","INHC22","DR","9.80% INDIABULLS HOUSINGMAR34",1200,1,"939379",0,0,0,0,"980IHFL34","9.80% INDIABULLS HOUSINGMAR34","","","","","","","","","","",800,1000,"INE148I07SW5",0,0,0,0,"","","","980IHFL34"
"939381","INHC23","DR","10.25% INDIABULLS HOUSINGMAR34",1200,1,"939381",0,0,0,0,"1025IHF34","10.25% INDIABULLS HOUSINGMAR34","","","","","","","","","","",800,1000,"INE148I07SQ7",0,0,0,0,"","","","1025IHF34"
"939118","INHD10","DR","0% INDIABULLS HOU. R DEC 26",1200,1,"939118",0,0,0,0,"IBHFZC26F","0% INDIABULLS HOU. R DEC 26","","","","","","","","","","",800,1000,"INE148I07RY3",0,0,0,0,"","","","IBHFZC26F"
"939120","INHD11","DR","0% INDIABULLS HOU. 27 DEC 26",1200,1,"939120",0,0,0,0,"IBHFZC26G","0% INDIABULLS HOU. 27 DEC 26","","","","","","","","","","",800,1000,"INE148I07RL0",0,0,0,0,"","","","IBHFZC26G"
"939122","INHD12","DR","9.65% INDIABULLS HOU. DEC 28",1200,1,"939122",0,0,0,0,"965IHFL28B","9.65% INDIABULLS HOU. DEC 28","","","","","","","","","","",800,1000,"INE148I07RM8",0,0,0,0,"","","","965IHFL28B"
"939124","INHD13","DR","10.15% INDIABULLS HOU. DEC 28",1080.36,1,"939124",0,0,0,0,"925IHFL28B","10.15% INDIABULLS HOU. DEC 28","","","","","","","","","","",720.24,1000,"INE148I07RS5",0,0,0,0,"","","","925IHFL28B"
"939126","INHD14","DR","INDIABULLS HOUSING FIN 27DC28",1200,1,"939126",0,0,0,0,"971IHFL28B","INDIABULLS HOUSING FIN 27DC28","","","","","","","","","","",800,1000,"INE148I07RO4",0,0,0,0,"","","","971IHFL28B"
"939128","INHD15","DR","INDIABULLS HOUSING LTD 9.71",1164,1,"939128",0,0,0,0,"980IHFL33D","INDIABULLS HOUSING LTD 9.71","","","","","","","","","","",776,1000,"INE148I07RP1",0,0,0,0,"","","","980IHFL33D"
"939130","INHD16","DR","10.5% INDIABULLS HOU. DEC 30",1200,1,"939130",0,0,0,0,"835IHFL23A","10.5% INDIABULLS HOU. DEC 30","","","","","","","","","","",800,1000,"INE148I07RR7",0,0,0,0,"","","","835IHFL23A"
