"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"10895","OPTCUR","EURINR","OPTION","02-Aug-2024",95.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.0025,0.0425,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.235,"EURINR"
"10759","OPTCUR","EURINR","OPTION","02-Aug-2024",95.0000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",4.2675,5.7575,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.9075,"EURINR"
"11453","OPTCUR","GBPINR","OPTION","02-Aug-2024",102.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",2.98,4.76,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.87,"GBPINR"
"11454","OPTCUR","GBPINR","OPTION","02-Aug-2024",102.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",0.1,0.385,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.2425,"GBPINR"
"11568","OPTCUR","GBPINR","OPTION","02-Aug-2024",106.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",0.7975,1.8175,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.3075,"GBPINR"
"11570","OPTCUR","GBPINR","OPTION","02-Aug-2024",106.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",0.7125,1.6725,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.1925,"GBPINR"
"11711","OPTCUR","GBPINR","OPTION","02-Aug-2024",110.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",0.095,0.38,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.2375,"GBPINR"
"11768","OPTCUR","GBPINR","OPTION","02-Aug-2024",110.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",3.2075,4.9875,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.0975,"GBPINR"
"11831","OPTCUR","JPYINR","OPTION","26-Jul-2024",60.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.04,"JPYINR"
"11947","OPTCUR","JPYINR","OPTION","02-Aug-2024",50.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",0.0275,0.1375,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0825,"JPYINR"
"11977","OPTCUR","JPYINR","OPTION","02-Aug-2024",54.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",0.2325,0.6425,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.4375,"JPYINR"
"11978","OPTCUR","JPYINR","OPTION","02-Aug-2024",54.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",0.995,1.84,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.4175,"JPYINR"
