Exchange,Token,LotSize,Symbol,TradingSymbol,Instrument,Isin,TickSize,
BSE,958618,1,85NABARD29,85NABARD29,F,INE261F08BC8,0.01,
BSE,958616,1,923IREDA29,923IREDA29,F,INE202E08045,0.01,
BSE,958614,1,92171LTH34,92171LTH34,F,INE235P07944,0.01,
BSE,958613,1,855IRFC29,855IRFC29,F,INE053F07BA5,0.01,
BSE,958612,1,9855IRT4A2,9855IRT4A2,F,INE05UK15049,0.01,
BSE,958610,1,9855IRT3A3,9855IRT3A3,F,INE05UI15068,0.01,
BSE,958609,1,9855IRT3A2,9855IRT3A2,F,INE05UI15050,0.01,
BSE,958607,1,98359TSL34,98359TSL34,F,INE081A08223,0.01,
BSE,958599,1,89922IGT29,89922IGT29,F,INE219X07025,0.01,
BSE,958596,1,875PFCL34,875PFCL34,F,INE134E08JT7,0.01,
BSE,958588,1,858HUDC29A,858HUDC29A,F,INE031A08681,0.01,
BSE,958587,1,824PGCIL29,824PGCIL29,F,INE752E08551,0.01,
BSE,958583,100000,1410KCPL25,1410KCPL25,F,INE200W08058,0.01,
BSE,958575,1,955SCPSL29,955SCPSL29,F,INE018E08144,0.01,
BSE,958569,1,838HUDCO29,838HUDCO29,F,INE031A08673,0.01,
BSE,958568,1,854NABAR34,854NABAR34,F,INE261F08AZ1,0.01,
BSE,958565,1,849NHAI29,849NHAI29,F,INE906B07GO3,0.01,
BSE,958555,1,99SFL24,99SFL24,F,INE721A08DF1,0.01,
BSE,958553,1,829NABAR29,829NABAR29,F,INE261F08AY4,0.01,
BSE,958551,1,847IREDA29,847IREDA29,F,INE202E07278,0.01,
BSE,958542,1,91IHFL29,91IHFL29,F,INE148I07JQ6,0.01,
BSE,958540,1,88REC29,88REC29,F,INE020B08BJ2,0.01,
BSE,958539,1,836PGCIL29,836PGCIL29,F,INE752E07OH3,0.01,
BSE,958538,1,2EARCL29,2EARCL29,F,INE015L07626,0.01,
BSE,958531,1,837NHAI29,837NHAI29,F,INE906B07GN5,0.01,
BSE,958523,1,851IREDA29,851IREDA29,F,INE202E07260,0.01,
BSE,958522,1,83NTPCL29,83NTPCL29,F,INE733E07KJ7,0.01,
BSE,958518,1,84IRFC29,84IRFC29,F,INE053F07AZ4,0.01,
BSE,958514,1,895BFL26,895BFL26,F,INE296A07QS1,0.01,
BSE,958511,1,1025SF24,1025SF24,F,INE721A08DE4,0.01,
BSE,958502,1,106FEL26,106FEL26,F,INE623B07958,0.01,
BSE,958489,1,844HBL28,844HBL28,F,INE040A08393,0.01,
BSE,958487,1,915ABFL28,915ABFL28,F,INE860H07GM3,0.01,
BSE,958469,1,860ABL28,860ABL28,F,INE238A08450,0.01,
BSE,958468,1,818NABAR28,818NABAR28,F,INE261F08AX6,0.01,
BSE,958467,10000,1250AFPL25,1250AFPL25,F,INE515Q07228,0.01,
BSE,958466,1,866HDFCB28,866HDFCB28,F,INE040A08765,0.01,
BSE,958464,1,851NABAR33,851NABAR33,F,INE261F08AW8,0.01,
BSE,958463,1,927PCHFL28,927PCHFL28,F,INE516Y07014,0.01,
BSE,958447,1,1051SFL28,1051SFL28,F,INE721A08DD6,0.01,
BSE,958445,1,99EARCL28,99EARCL28,F,INE015L07618,0.01,
BSE,958438,1,865RIL28,865RIL28,F,INE002A08567,0.01,
BSE,958433,1,976ABFL28,976ABFL28,F,INE860H08EA1,0.01,
BSE,958419,1,837REC28,837REC28,F,INE020B08BH6,0.01,
BSE,958418,1,845IRFC28,845IRFC28,F,INE053F07AY7,0.01,
BSE,958411,1,1075ECL25,1075ECL25,F,INE804I073Z6,0.01,
BSE,958410,1,93IHFL28,93IHFL28,F,INE148I07JK9,0.01,
BSE,958406,1,9HDFCB28A,9HDFCB28A,F,INE040A08AB1,0.01,
BSE,958400,1,109AUSF25,109AUSF25,F,INE949L08418,0.01,
BSE,958399,1,852HUDCO28,852HUDCO28,F,INE031A08624,0.01,
