pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
21288,SG,nse_cm,,768JK44,768JK44-SG,,768JK44-SG,IN4920230211,,,,SDL JK 7.68% 2044,,,1,100,-1,-1,2,-1,NSE,,,1389484800,,1389484800,0,0,0,0,0,95.00-105.00,0,0,1404060315,,,,,,,,,,CASH,,,,,10000,,,,0,20,,,T+1,315513000,0,1,999999,100,0,10500,9500,1,1,1,0,0,1,0,3.3e+07,0,0,999999
9952,SG,nse_cm,,785RJ39,785RJ39-SG,,785RJ39-SG,IN2920220067,,,,SDL RJ 7.85% 2039,,,1,100,-1,-1,2,-1,NSE,,,1340496000,,1340496000,0,0,0,0,0,95.00-105.00,0,0,1404060312,,,,,,,,,,CASH,,,,,10000,,,,0,20,,,T+1,315513000,0,1,1000000,100,0,10500,9500,1,1,1,0,0,1,0,1e+08,0,0,1000000
9953,SG,nse_cm,,784TN52,784TN52-SG,,784TN52-SG,IN3120220048,,,,SDL TN 7.84% 2052,,,1,100,-1,-1,2,-1,NSE,,,1340496000,,1340496000,0,0,0,0,0,95.00-105.00,0,0,1404060312,,,,,,,,,,CASH,,,,,10000,,,,0,20,,,T+1,315513000,0,1,1000000,100,0,10500,9500,1,1,1,0,0,1,0,1e+08,0,0,1000000
16801,SG,nse_cm,,736HR33A,736HR33A-SG,,736HR33A-SG,IN1620230103,,,,SDL HR 7.36% 2033,,,1,100,-1,-1,2,-1,NSE,,,1371340800,,1371340800,0,0,0,0,0,95.00-105.00,0,0,1404060314,,,,,,,,,,CASH,,,,,10000,,,,0,20,,,T+1,315513000,0,1,999975,100,0,10500,9500,1,1,1,0,0,1,0,7.5e+07,0,0,999975
16802,SG,nse_cm,,737NL33A,737NL33A-SG,,737NL33A-SG,IN2620230044,,,,SDL NL 7.37% 2033,,,1,100,-1,-1,2,-1,NSE,,,1371340800,,1371340800,0,0,0,0,0,95.00-105.00,0,0,1404060314,,,,,,,,,,CASH,,,,,10000,,,,0,20,,,T+1,315513000,0,1,490500,100,0,10500,9500,1,1,1,0,0,1,0,1.5e+07,0,0,490500
16803,SG,nse_cm,,741UP34,741UP34-SG,,741UP34-SG,IN3320230037,,,,SDL UP 7.41% 2034,,,1,100,-1,-1,2,-1,NSE,,,1371340800,,1371340800,0,0,0,0,0,95.00-105.00,0,0,1404060314,,,,,,,,,,CASH,,,,,10000,,,,0,20,,,T+1,315513000,0,1,1000000,100,0,10500,9500,1,1,1,0,0,1,0,2.5e+08,0,0,1000000
16804,SG,nse_cm,,741PN34,741PN34-SG,,741PN34-SG,IN2820230059,,,,SDL PN 7.41% 2034,,,1,100,-1,-1,2,-1,NSE,,,1371340800,,1371340800,0,0,0,0,0,95.00-105.00,0,0,1404060314,,,,,,,,,,CASH,,,,,10000,,,,0,20,,,T+1,315513000,0,1,1000000,100,0,10500,9500,1,1,1,0,0,1,0,8e+07,0,0,1000000
16805,SG,nse_cm,,74MP34,74MP34-SG,,74MP34-SG,IN2120230023,,,,SDL MP 7.4% 2034,,,1,100,-1,-1,2,-1,NSE,,,1371340800,,1371340800,0,0,0,0,0,95.00-105.00,0,0,1404060314,,,,,,,,,,CASH,,,,,10000,,,,0,20,,,T+1,315513000,0,1,1000000,100,0,10500,9500,1,1,1,0,0,1,0,4e+08,0,0,1000000
16806,SG,nse_cm,,739AP35,739AP35-SG,,739AP35-SG,IN1020230224,,,,SDL AP 7.39% 2035,,,1,100,-1,-1,2,-1,NSE,,,1371340800,,1371340800,0,0,0,0,0,95.00-105.00,0,0,1404060314,,,,,,,,,,CASH,,,,,10000,,,,0,20,,,T+1,315513000,0,1,1000000,100,0,10500,9500,1,1,1,0,0,1,0,5e+07,0,0,1000000
16807,EQ,nse_cm,,LOTUSEYE,LOTUSEYE-EQ,,LOTUSEYE,INE947I01017,,,,LOTUS EYE HOSP & INST L,,,1,1,-1,-1,2,-1,NSE,,,900201600,,900201600,0,0,0,0,1379462400,45.10-67.65,0,0,1404069019,,,,,,,,,,CASH,,,,,1000,,,,0,20,,,T+1,315513000,0,1,680039,1,0,6765,4510,1,1,1,0,0,1,0,2.07963e+07,0,0,680039
