810960,743TNSDL43,743TNSDL43,,-1.000000,10,,BSE,1.000000
543265,RAILTEL,RAILTEL,,-1.000000,1,,BSE,5.000000
724770,SL100523,SL100523,,-1.000000,1,,BSE,1.000000
938113,995NWIL32,995NWIL32,,-1.000000,1,,BSE,1.000000
543228,ROUTE,ROUTE,,-1.000000,1,,BSE,5.000000
800385,SGBAUG29,SGBAUG29,,-1.000000,1,,BSE,1.000000
938420,840MFL27,840MFL27,,-1.000000,1,,BSE,1.000000
974484,AFPL281222,AFPL281222,,-1.000000,1,,BSE,1.000000
973834,740NL27,740NL27,,-1.000000,1,,BSE,1.000000
199095,DSPN50INAV,DSPN50INAV,,-1.000000,1,,BSE,1.000000
954665,763PFCL26,763PFCL26,,-1.000000,1,,BSE,1.000000
950459,880PFC25,880PFC25,,-1.000000,1,,BSE,1.000000
974098,738BFL25,738BFL25,,-1.000000,1,,BSE,1.000000
974441,UCL191222,UCL191222,,-1.000000,1,,BSE,1.000000
533719,LICMFGOLD,LICMFGOLD,,-1.000000,1,,BSE,1.000000
532007,SHVFL,SHVFL,,-1.000000,1,,BSE,1.000000
724853,JUPPL220523,JUPPL220523,,-1.000000,1,,BSE,1.000000
506690,UNICHEMLAB,UNICHEMLAB,,-1.000000,1,,BSE,5.000000
938438,775MFL25,775MFL25,,-1.000000,1,,BSE,1.000000
524808,PHYTO,PHYTO,,-1.000000,1,,BSE,1.000000
937611,1125KLM24,1125KLM24,,-1.000000,1,,BSE,1.000000
590062,ANDHRSUGAR,ANDHRSUGAR,,-1.000000,1,,BSE,5.000000
542730,ICICIBANKN,ICICIBANKN,,-1.000000,1,,BSE,1.000000
537750,KIRANVYPAR,KIRANVYPAR,,-1.000000,1,,BSE,5.000000
535439,KTKFMP101G,KTKFMP101G,,-1.000000,1,,BSE,1.000000
524370,BODALCHEM,BODALCHEM,,-1.000000,1,,BSE,1.000000
937899,ZCMFL30,ZCMFL30,,-1.000000,1,,BSE,1.000000
540393,SMLT,SMLT,,-1.000000,1,,BSE,5.000000
530307,CHAMANSEQ,CHAMANSEQ,,-1.000000,1,,BSE,5.000000
512197,SILVERO,SILVERO,,-1.000000,1,,BSE,1.000000
973574,8JMFHL26,8JMFHL26,,-1.000000,1,,BSE,1.000000
543812,DIVGIITTS,DIVGIITTS,,-1.000000,1,,BSE,5.000000
800396,GS15JUN31C,GS15JUN31C,,-1.000000,100,,BSE,1.000000
543511,H1876D46RQ,H1876D46RQ,,-1.000000,1,,BSE,1.000000
533142,FFTF16BDM,FFTF16BDM,,-1.000000,1,,BSE,1.000000
959144,74BOB3JAN20,74BOB3JAN20,,-1.000000,1,,BSE,1.000000
724766,IFSL9523,IFSL9523,,-1.000000,1,,BSE,1.000000
810618,818TN2028,818TN2028,,-1.000000,10,,BSE,5.000000
956670,8RPL35,8RPL35,,-1.000000,1,,BSE,1.000000
524080,HARLETH,HARLETH,,-1.000000,1,,BSE,1.000000
929005,868SMC24,868SMC24,,-1.000000,1,,BSE,1.000000
810727,696TAMSDL56,696TAMSDL56,,-1.000000,10,,BSE,1.000000
523019,BNRSEC,BNRSEC,,-1.000000,1,,BSE,1.000000
800268,SGBMAY25,SGBMAY25,,-1.000000,1,,BSE,1.000000
531260,REFEXRENEW,REFEXRENEW,,-1.000000,1,,BSE,5.000000
523832,MUKATPIP,MUKATPIP,,-1.000000,1,,BSE,1.000000
974380,7LKCPLD26,7LKCPLD26,,-1.000000,1,,BSE,1.000000
959013,869NEEPC27,869NEEPC27,,-1.000000,1,,BSE,1.000000
974612,910STL26,910STL26,,-1.000000,1,,BSE,1.000000
954724,813PGCIL29,813PGCIL29,,-1.000000,1,,BSE,1.000000
974458,BSNL221222,BSNL221222,,-1.000000,1,,BSE,1.000000
937511,975MMFL24,975MMFL24,,-1.000000,1,,BSE,1.000000
800515,GS19MAR2036,GS19MAR2036,,-1.000000,100,,BSE,1.000000
542935,ICLORGANIC,ICLORGANIC,,-1.000000,2000,,BSE,1.000000
953144,890YES2025,890YES2025,,-1.000000,1,,BSE,1.000000
937087,1025NWFL25,1025NWFL25,,-1.000000,1,,BSE,1.000000
533553,TDPOWERSYS,TDPOWERSYS,,-1.000000,1,,BSE,5.000000
543865,RSFMP82GR,RSFMP82GR,,-1.000000,1,,BSE,1.000000
938446,MFL100323A,MFL100323A,,-1.000000,1,,BSE,1.000000
509053,BANASFN,BANASFN,,-1.000000,1,,BSE,1.000000
961885,888IRFC29,888IRFC29,,-1.000000,1,,BSE,1.000000
973382,918OICPL27,918OICPL27,,-1.000000,1,,BSE,1.000000
973626,ECE011221A,ECE011221A,,-1.000000,1,,BSE,1.000000
937845,805IHFL24,805IHFL24,,-1.000000,1,,BSE,1.000000
543253,BECTORFOOD,BECTORFOOD,,-1.000000,1,,BSE,5.000000
974404,85JMFPL25A,85JMFPL25A,,-1.000000,1,,BSE,1.000000
512618,RLF,RLF,,-1.000000,1,,BSE,1.000000
973955,5WPL25,5WPL25,,-1.000000,1,,BSE,1.000000
946998,SFL090910B,SFL090910B,,-1.000000,1,,BSE,1.000000
500151,GOLDENTOBC,GOLDENTOBC,,-1.000000,1,,BSE,1.000000
513250,JYOTISTRUC,JYOTISTRUC,,-1.000000,1,,BSE,1.000000
532373,WEPSOLN,WEPSOLN,,-1.000000,1,,BSE,1.000000
810685,668KARSDL36,668KARSDL36,,-1.000000,10,,BSE,5.000000
973222,715GRIL24,715GRIL24,,-1.000000,1,,BSE,1.000000
